Naam;Afkorting;Adviescollege Scope;Actief vanaf;Kaderwet van toepassing;Classificaties;Register van overheidsorganisaties URL;Adviescollege URL;TOOI-URI
Topteams;;Permanent;18-2-2012;Nee;cao, overheidswerkgever, woo;https://organisaties.overheid.nl/28360914/Topteams;;https://identifier.overheid.nl/tooi/id/oorg/oorg10157
Politieonderwijsraad;;Permanent;1-1-2013;Nee;cao, overheidswerkgever, woo;https://organisaties.overheid.nl/28355941/Politieonderwijsraad;https://www.politieonderwijsraad.nl/;https://identifier.overheid.nl/tooi/id/oorg/oorg10135
Orgaan voor de Friese taal;;Permanent;1-1-2014;Ja;cao, overheidswerkgever, woo;https://organisaties.overheid.nl/28360985/Orgaan_voor_de_Friese_taal;https://dingtiid.frl/nl/home/;https://identifier.overheid.nl/tooi/id/oorg/oorg10164
Nederlands Comité voor Ondernemerschap;;Permanent;1-4-2018;Nee;cao, overheidswerkgever, woo;https://organisaties.overheid.nl/28360935/Nederlands_Comite_voor_Ondernemerschap;https://www.staatvanhetmkb.nl/nieuws/het-nederlands-comite-voor-ondernemerschap;https://identifier.overheid.nl/tooi/id/oorg/oorg10159
Commissie registratie diergeneesmiddelen;CRD;Permanent;1-1-2013;Nee;cao, overheidswerkgever, woo;https://organisaties.overheid.nl/28391711/Commissie_registratie_diergeneesmiddelen;https://www.cbg-meb.nl/onderwerpen/bd-commissie-toelating-diergeneesmiddelen;https://identifier.overheid.nl/tooi/id/oorg/oorg10204
Wetenschappelijke Raad voor het Regeringsbeleid;WRR;Permanent;1-9-1976;Nee;cao, overheidswerkgever, woo;https://organisaties.overheid.nl/28351125/Wetenschappelijke_Raad_voor_het_Regeringsbeleid;https://www.wrr.nl/;https://identifier.overheid.nl/tooi/id/oorg/oorg10105
Forum Standaardisatie;;Tijdelijk;9-4-2006;Nee;cao, overheidswerkgever, woo;https://organisaties.overheid.nl/28200239/Forum_Standaardisatie;https://www.forumstandaardisatie.nl;https://identifier.overheid.nl/tooi/id/oorg/oorg12348
Commissie Buitenslands Gediplomeerden Volksgezondheid;CBGV;Permanent;3-11-1995;Nee;;https://organisaties.overheid.nl/30272333/Commissie_Buitenslands_Gediplomeerden_Volksgezondheid;https://www.bigregister.nl/buitenlands-diploma/cbgv/overzicht-leden-cbgv;https://identifier.overheid.nl/tooi/id/oorg/oorg12381
Adviescommissie EFMZV;;Permanent;1-9-2015;Nee;cao, overheidswerkgever, woo;https://organisaties.overheid.nl/28391701/Adviescommissie_EFMZV;https://www.rvo.nl/onderwerpen/efmzv/regelgeving;https://identifier.overheid.nl/tooi/id/oorg/oorg10203
Raad voor Volksgezondheid en Samenleving;RVS;Permanent;1-1-2015;Ja;cao, overheidswerkgever, woo;https://organisaties.overheid.nl/66176/Raad_voor_Volksgezondheid_en_Samenleving;https://www.raadrvs.nl/;https://identifier.overheid.nl/tooi/id/oorg/oorg10262
College financieel toezicht Bonaire, Sint Eustatius en Saba;;Permanent;10-10-2010;Nee;cao, overheidswerkgever, woo;https://organisaties.overheid.nl/28360965/College_financieel_toezicht_Bonaire_Sint_Eustatius_en_Saba;https://www.cft.cw/;https://identifier.overheid.nl/tooi/id/oorg/oorg10162
Klachtencommissie beëdigde tolken en vertalers;;Permanent;25-5-2009;Nee;cao, overheidswerkgever, woo;https://organisaties.overheid.nl/28355901/Klachtencommissie_beedigde_tolken_en_vertalers;https://www.bureauwbtv.nl/commissies/klachtencommissie-wbtv/;https://identifier.overheid.nl/tooi/id/oorg/oorg10131
Commissie insolventierecht;;Permanent;1-1-2019;Ja;cao, overheidswerkgever, woo;https://organisaties.overheid.nl/28220148/Commissie_insolventierecht;;https://identifier.overheid.nl/tooi/id/oorg/oorg10256
Toetsingscommissie vangnet Participatiewet;TvP;Permanent;1-1-2004;Nee;cao, overheidswerkgever, woo;https://organisaties.overheid.nl/28391751/Toetsingscommissie_vangnet_Participatiewet;https://www.toetsingscommissievp.nl/;https://identifier.overheid.nl/tooi/id/oorg/oorg10208
